reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2022-01-01,Alternator,Electrical system,0,10707.75,0.0,0.0,Retail Client,GCash,Completed,ORD820001,Automated migration
2022-01-01,Alternator,Electrical system,8,7434.69,210.96,59477.52,Retail Client,Cash,Completed,ORD820002,Automated migration
2022-01-01,Spark Plug,Ignition system,8,420.91,280.62,3367.28,Walk-in Customer,Check,Completed,ORD820003,Automated migration
2022-01-01,Shock Absorber,Suspension system,4,5642.44,3.25,22569.76,Retail Client,Check,Completed,ORD820004,Automated migration
2022-01-01,Radiator,Cooling system,2,4291.88,381.75,8583.76,Retail Client,Cash,Completed,ORD820005,Automated migration
2022-01-01,Alternator,Electrical system,5,11237.47,301.86,56187.35,Retail Client,Check,Completed,ORD820006,Automated migration
2022-01-01,Battery,Electrical system,1,6760.2,414.7,6760.2,Walk-in Customer,Bank Transfer,Completed,ORD820007,Automated migration
2022-01-01,Alternator,Electrical system,0,10306.32,0.0,0.0,Wholesale Client,Cash,Completed,ORD820008,Automated migration
2022-01-01,Alternator,Electrical system,6,8389.87,317.84,50339.22,Wholesale Client,GCash,Completed,ORD820009,Automated migration
2022-01-01,Fuel Pump,Fuel system,3,5515.79,350.91,16547.37,Walk-in Customer,Cash,Completed,ORD820010,Automated migration
2022-01-01,Clutch Kit,Transmission system,3,6470.62,189.73,19411.86,Walk-in Customer,GCash,Completed,ORD820011,Automated migration
2022-01-01,Air Filter,Engine system,3,364.36,402.52,1093.08,Wholesale Client,Bank Transfer,Completed,ORD820012,Automated migration
2022-01-01,Spark Plug,Ignition system,5,245.68,249.62,1228.4,Walk-in Customer,Check,Completed,ORD820013,Automated migration
2022-01-01,Radiator,Cooling system,2,4479.77,280.68,8959.54,Wholesale Client,Check,Completed,ORD820014,Automated migration
2022-01-01,Fuel Pump,Fuel system,3,6987.97,69.17,20963.91,Wholesale Client,Cash,Completed,ORD820015,Automated migration
2022-01-01,Alternator,Electrical system,2,10137.23,396.04,20274.46,Wholesale Client,Cash,Completed,ORD820016,Automated migration
2022-01-01,Battery,Electrical system,7,6645.57,485.54,46518.99,Retail Client,Cash,Completed,ORD820017,Automated migration
2022-01-01,Fuel Pump,Fuel system,1,3820.75,79.08,3820.75,Retail Client,Bank Transfer,Completed,ORD820018,Automated migration
2022-01-01,Clutch Kit,Transmission system,1,12834.67,149.22,12834.67,Walk-in Customer,GCash,Completed,ORD820019,Automated migration
2022-01-01,Fuel Pump,Fuel system,2,4927.21,389.31,9854.42,Walk-in Customer,Cash,Completed,ORD820020,Automated migration
2022-01-01,Shock Absorber,Suspension system,0,2503.4,0.0,0.0,Wholesale Client,Bank Transfer,Completed,ORD820021,Automated migration
2022-01-01,Air Filter,Engine system,3,375.6,473.47,1126.8,Retail Client,Check,Completed,ORD820022,Automated migration
2022-01-02,Clutch Kit,Transmission system,2,6155.52,237.64,12311.04,Walk-in Customer,GCash,Completed,ORD820023,Automated migration
2022-01-02,Clutch Kit,Transmission system,6,13679.27,464.46,82075.62,Walk-in Customer,GCash,Completed,ORD820024,Automated migration
2022-01-02,Battery,Electrical system,5,6190.5,258.79,30952.5,Retail Client,GCash,Completed,ORD820025,Automated migration
