reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2026-01-01,Fuel Pump,Fuel system,8,6781.04,453.04,54248.32,Retail Client,GCash,Completed,ORD960001,Automated migration
2026-01-01,Oil Filter,Engine system,8,310.6,543.6,2484.8,Wholesale Client,Check,Completed,ORD960002,Automated migration
2026-01-01,Air Filter,Engine system,9,216.14,201.07,1945.26,Retail Client,Check,Completed,ORD960003,Automated migration
2026-01-01,Shock Absorber,Suspension system,10,3414.05,278.05,34140.5,Wholesale Client,Bank Transfer,Completed,ORD960004,Automated migration
2026-01-01,Clutch Kit,Transmission system,10,5686.88,238.28,56868.8,Walk-in Customer,Bank Transfer,Completed,ORD960005,Automated migration
2026-01-01,Shock Absorber,Suspension system,2,5944.14,492.78,11888.28,Walk-in Customer,Bank Transfer,Completed,ORD960006,Automated migration
2026-01-01,Fuel Pump,Fuel system,5,4574.83,63.48,22874.15,Walk-in Customer,Check,Completed,ORD960007,Automated migration
2026-01-01,Battery,Electrical system,8,8012.75,606.73,64102.0,Wholesale Client,Check,Completed,ORD960008,Automated migration
2026-01-01,Battery,Electrical system,9,8631.17,335.43,77680.53,Walk-in Customer,Cash,Completed,ORD960009,Automated migration
2026-01-01,Brake Pad,Brake system,0,3414.27,0.0,0.0,Walk-in Customer,Cash,Completed,ORD960010,Automated migration
2026-01-01,Shock Absorber,Suspension system,2,4169.51,160.25,8339.02,Retail Client,Check,Completed,ORD960011,Automated migration
2026-01-01,Clutch Kit,Transmission system,4,10038.16,468.83,40152.64,Wholesale Client,Check,Completed,ORD960012,Automated migration
2026-01-01,Battery,Electrical system,3,5471.87,188.33,16415.61,Retail Client,GCash,Completed,ORD960013,Automated migration
2026-01-01,Clutch Kit,Transmission system,7,8239.42,139.89,57675.94,Walk-in Customer,Check,Completed,ORD960014,Automated migration
2026-01-01,Clutch Kit,Transmission system,7,12271.63,390.49,85901.41,Retail Client,Bank Transfer,Completed,ORD960015,Automated migration
2026-01-02,Alternator,Electrical system,7,10446.67,549.56,73126.69,Walk-in Customer,Bank Transfer,Completed,ORD960016,Automated migration
2026-01-02,Brake Pad,Brake system,6,3137.61,335.4,18825.66,Retail Client,Bank Transfer,Completed,ORD960017,Automated migration
2026-01-02,Fuel Pump,Fuel system,1,3375.64,599.65,3375.64,Retail Client,Check,Completed,ORD960018,Automated migration
2026-01-02,Alternator,Electrical system,0,9256.15,0.0,0.0,Walk-in Customer,Cash,Completed,ORD960019,Automated migration
2026-01-02,Spark Plug,Ignition system,1,429.48,526.3,429.48,Wholesale Client,Bank Transfer,Completed,ORD960020,Automated migration
2026-01-02,Air Filter,Engine system,5,332.92,402.0,1664.6,Wholesale Client,GCash,Completed,ORD960021,Automated migration
2026-01-02,Shock Absorber,Suspension system,9,2590.47,418.7,23314.23,Walk-in Customer,Bank Transfer,Completed,ORD960022,Automated migration
2026-01-02,Battery,Electrical system,10,4800.61,94.74,48006.1,Walk-in Customer,Bank Transfer,Completed,ORD960023,Automated migration
2026-01-02,Battery,Electrical system,2,6600.15,137.69,13200.3,Retail Client,Cash,Completed,ORD960024,Automated migration
2026-01-02,Alternator,Electrical system,0,11169.0,0.0,0.0,Walk-in Customer,Bank Transfer,Completed,ORD960025,Automated migration
2026-01-02,Air Filter,Engine system,8,295.2,477.96,2361.6,Wholesale Client,Bank Transfer,Completed,ORD960026,Automated migration
2026-01-02,Shock Absorber,Suspension system,7,4572.28,563.46,32005.96,Retail Client,GCash,Completed,ORD960027,Automated migration
2026-01-02,Oil Filter,Engine system,5,214.7,163.33,1073.5,Walk-in Customer,Cash,Completed,ORD960028,Automated migration
2026-01-02,Air Filter,Engine system,3,329.45,121.35,988.35,Walk-in Customer,Cash,Completed,ORD960029,Automated migration
2026-01-02,Spark Plug,Ignition system,7,469.93,614.47,3289.51,Retail Client,GCash,Completed,ORD960030,Automated migration
2026-01-02,Brake Pad,Brake system,10,3142.06,272.98,31420.6,Wholesale Client,Check,Completed,ORD960031,Automated migration
2026-01-02,Battery,Electrical system,4,4935.99,122.29,19743.96,Wholesale Client,Check,Completed,ORD960032,Automated migration
2026-01-02,Radiator,Cooling system,7,4061.77,363.53,28432.39,Wholesale Client,Cash,Completed,ORD960033,Automated migration
2026-01-02,Alternator,Electrical system,3,8156.67,667.57,24470.01,Wholesale Client,Bank Transfer,Completed,ORD960034,Automated migration
2026-01-02,Clutch Kit,Transmission system,10,6642.06,19.03,66420.6,Retail Client,Bank Transfer,Completed,ORD960035,Automated migration
2026-01-02,Alternator,Electrical system,9,10580.06,389.06,95220.54,Walk-in Customer,GCash,Completed,ORD960036,Automated migration
2026-01-03,Radiator,Cooling system,10,6334.4,71.02,63344.0,Wholesale Client,Cash,Completed,ORD960037,Automated migration
2026-01-03,Brake Pad,Brake system,1,2774.46,531.38,2774.46,Walk-in Customer,GCash,Completed,ORD960038,Automated migration
