reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2021-01-01,Alternator,Electrical system,0,9327.9,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD001433,Automated migration
2021-01-01,Battery,Electrical system,0,6062.63,0.0,0.0,Retail Client,Check,Completed,ORD001344,Automated migration
2021-01-01,Catalytic Converter,Exhaust system,27,23674.19,30204.45,639203.13,Retail Client,GCash,Completed,ORD001652,Automated migration
2021-01-01,ECU Module,Electrical system,0,27071.69,0.0,0.0,Wholesale Client,Maya,Completed,ORD001792,Automated migration
2021-01-02,Brake Pads,Braking system,15,1061.3,472.95,15919.5,Retail Client,Cash,Completed,ORD000560,Automated migration
2021-01-02,Catalytic Converter,Exhaust system,26,17628.96,19633.91,458352.96,Wholesale Client,Bank Transfer,Completed,ORD001650,Automated migration
2021-01-03,Catalytic Converter,Exhaust system,14,23578.05,11077.27,330092.7,Retail Client,GCash,Completed,ORD001654,Automated migration
2021-01-04,Catalytic Converter,Exhaust system,25,12201.83,13254.87,305045.75,Wholesale Client,Maya,Completed,ORD001651,Automated migration
2021-01-04,Oil Filter,Engine system,21,206.16,133.11,4329.36,Retail Client,Maya,Completed,ORD000005,Automated migration
2021-01-07,Oil Filter,Engine system,21,145.21,146.83,3049.41,Wholesale Client,GCash,Completed,ORD000003,Automated migration
2021-01-08,Catalytic Converter,Exhaust system,40,21824.14,18360.24,872965.6,Wholesale Client,Bank Transfer,Completed,ORD001657,Automated migration
2021-01-10,Shock Absorber,Suspension & traction,28,3154.36,1981.55,88322.08,Retail Client,Cash,Completed,ORD000886,Automated migration
2021-01-11,Air Filter,Engine system,29,231.86,362.3,6723.94,Retail Client,Check,Completed,ORD000333,Automated migration
2021-01-13,Oil Filter,Engine system,31,172.07,155.34,5334.17,Retail Client,Cash,Completed,ORD000001,Automated migration
2021-01-13,Starter Motor,Electrical system,15,7814.78,4242.23,117221.7,Retail Client,Check,Completed,ORD001551,Automated migration
2021-01-14,Starter Motor,Electrical system,31,7226.17,7268.43,224011.27,Wholesale Client,Bank Transfer,Completed,ORD001552,Automated migration
2021-01-15,Air Filter,Engine system,26,247.4,224.8,6432.4,Wholesale Client,GCash,Completed,ORD000331,Automated migration
2021-01-15,Brake Pads,Braking system,35,1139.79,1910.5,39892.65,Retail Client,Maya,Completed,ORD000562,Automated migration
2021-01-15,Catalytic Converter,Exhaust system,30,19986.96,12417.7,599608.8,Retail Client,Bank Transfer,Completed,ORD001649,Automated migration
2021-01-15,Shock Absorber,Suspension & traction,34,4023.19,5488.47,136788.46,Wholesale Client,GCash,Completed,ORD000888,Automated migration
2021-01-15,Wheel Bearing,Drivetrain,27,2886.61,3849.69,77938.47,Retail Client,Cash,Completed,ORD001162,Automated migration
2021-01-21,Air Filter,Engine system,7,275.49,95.16,1928.43,Wholesale Client,Cash,Completed,ORD000330,Automated migration
2021-01-21,Brake Pads,Braking system,28,980.29,1349.15,27448.12,Wholesale Client,Bank Transfer,Completed,ORD000564,Automated migration
2021-01-21,Catalytic Converter,Exhaust system,45,21799.62,21188.57,980982.9,Retail Client,Cash,Completed,ORD001656,Automated migration
2021-01-22,Wheel Bearing,Drivetrain,38,1725.68,2169.08,65575.84,Retail Client,Bank Transfer,Completed,ORD001163,Automated migration
2021-01-23,Catalytic Converter,Exhaust system,21,21287.04,12473.05,447027.84,Retail Client,Cash,Completed,ORD001653,Automated migration
2021-01-23,Catalytic Converter,Exhaust system,35,14833.76,21792.49,519181.6,Wholesale Client,Cash,Completed,ORD001655,Automated migration
2021-01-26,Air Filter,Engine system,38,337.77,669.99,12835.26,Retail Client,Maya,Completed,ORD000332,Automated migration
2021-01-27,Brake Pads,Braking system,20,1011.63,598.13,20232.6,Wholesale Client,Maya,Completed,ORD000561,Automated migration
2021-01-27,Shock Absorber,Suspension & traction,26,3537.33,3665.75,91970.58,Retail Client,Cash,Completed,ORD000887,Automated migration
2021-01-27,Shock Absorber,Suspension & traction,14,4177.11,1555.36,58479.54,Retail Client,Cash,Completed,ORD000889,Automated migration
2021-01-30,Brake Pads,Braking system,20,1180.51,897.75,23610.2,Retail Client,Check,Completed,ORD000563,Automated migration
2021-01-31,Oil Filter,Engine system,22,242.6,202.98,5337.2,Retail Client,Maya,Completed,ORD000002,Automated migration
2021-01-31,Oil Filter,Engine system,34,179.59,348.64,6106.06,Wholesale Client,Cash,Completed,ORD000004,Automated migration
2021-01-31,Wheel Bearing,Drivetrain,26,2158.64,2196.06,56124.64,Retail Client,Bank Transfer,Completed,ORD001164,Automated migration
