reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2025-01-01,Air Filter,Engine system,2,221.36,31.57,442.72,Retail Client,Check,Completed,ORD900001,Automated migration
2025-01-01,Alternator,Electrical system,2,7392.45,866.56,14784.9,Retail Client,GCash,Completed,ORD900002,Automated migration
2025-01-01,Battery,Electrical system,3,5132.3,881.02,15396.9,Retail Client,Cash,Completed,ORD900003,Automated migration
2025-01-01,Brake Pads,Braking system,3,1357.98,136.96,4073.94,Wholesale Client,Cash,Completed,ORD900004,Automated migration
2025-01-01,Catalytic Converter,Exhaust system,1,22998.46,883.73,22998.46,Retail Client,GCash,Completed,ORD900005,Automated migration
2025-01-01,ECU Module,Electrical system,3,21672.24,2392.64,65016.72,Wholesale Client,Check,Completed,ORD900006,Automated migration
2025-01-01,Oil Filter,Engine system,2,252.2,36.56,504.4,Wholesale Client,GCash,Completed,ORD900007,Automated migration
2025-01-02,Shock Absorber,Suspension & traction,2,3497.76,427.42,6995.52,Retail Client,Maya,Completed,ORD900008,Automated migration
2025-01-02,Starter Motor,Electrical system,1,9327.21,708.97,9327.21,Wholesale Client,Maya,Completed,ORD900009,Automated migration
2025-01-02,Wheel Bearing,Drivetrain,1,2335.76,94.44,2335.76,Retail Client,Cash,Completed,ORD900010,Automated migration
2025-01-02,Brake Pads,Braking system,3,1518.18,270.28,4554.54,Retail Client,Bank Transfer,Completed,ORD900011,Automated migration
2025-01-02,Brake Pads,Braking system,2,1331.82,234.28,2663.64,Wholesale Client,GCash,Completed,ORD900012,Automated migration
2025-01-03,Catalytic Converter,Exhaust system,3,18951.39,3372.9,56854.17,Retail Client,Check,Completed,ORD900013,Automated migration
2025-01-03,Shock Absorber,Suspension & traction,1,3550.78,281.34,3550.78,Wholesale Client,Maya,Completed,ORD900014,Automated migration
2025-01-03,Catalytic Converter,Exhaust system,1,22158.56,967.17,22158.56,Retail Client,GCash,Completed,ORD900015,Automated migration
2025-01-03,Catalytic Converter,Exhaust system,2,12740.52,2069.08,25481.04,Wholesale Client,GCash,Completed,ORD900016,Automated migration
2025-01-03,Oil Filter,Engine system,1,160.84,6.0,160.84,Retail Client,Check,Completed,ORD900017,Automated migration
2025-01-03,Catalytic Converter,Exhaust system,2,17199.12,1405.7,34398.24,Retail Client,GCash,Completed,ORD900018,Automated migration
2025-01-03,Starter Motor,Electrical system,1,6385.79,396.79,6385.79,Wholesale Client,Cash,Completed,ORD900019,Automated migration
2025-01-03,Battery,Electrical system,2,4759.68,755.75,9519.36,Wholesale Client,Bank Transfer,Completed,ORD900020,Automated migration
2025-01-03,Oil Filter,Engine system,3,229.24,60.76,687.72,Wholesale Client,Check,Completed,ORD900021,Automated migration
2025-01-04,Air Filter,Engine system,1,358.46,24.71,358.46,Retail Client,Maya,Completed,ORD900022,Automated migration
2025-01-04,Brake Pads,Braking system,2,1363.75,187.34,2727.5,Retail Client,Check,Completed,ORD900023,Automated migration
2025-01-04,Brake Pads,Braking system,1,1575.61,69.09,1575.61,Wholesale Client,Check,Completed,ORD900024,Automated migration
2025-01-04,ECU Module,Electrical system,2,22429.27,2432.03,44858.54,Retail Client,Cash,Completed,ORD900025,Automated migration
2025-01-04,Starter Motor,Electrical system,1,8549.42,721.67,8549.42,Retail Client,Check,Completed,ORD900026,Automated migration
2025-01-04,ECU Module,Electrical system,1,14959.98,596.34,14959.98,Wholesale Client,Bank Transfer,Completed,ORD900027,Automated migration
2025-01-04,Battery,Electrical system,1,7679.17,527.16,7679.17,Retail Client,GCash,Completed,ORD900028,Automated migration
2025-01-04,Wheel Bearing,Drivetrain,1,2668.15,170.28,2668.15,Retail Client,GCash,Completed,ORD900029,Automated migration
2025-01-04,ECU Module,Electrical system,4,21948.97,5137.83,87795.88,Wholesale Client,Bank Transfer,Completed,ORD900030,Automated migration
2025-01-05,Oil Filter,Engine system,1,159.64,9.7,159.64,Wholesale Client,GCash,Completed,ORD900031,Automated migration
2025-01-05,Wheel Bearing,Drivetrain,1,2687.6,93.19,2687.6,Retail Client,GCash,Completed,ORD900032,Automated migration
2025-01-05,Shock Absorber,Suspension & traction,1,3942.68,327.9,3942.68,Wholesale Client,GCash,Completed,ORD900033,Automated migration
2025-01-05,Air Filter,Engine system,1,242.67,13.83,242.67,Retail Client,Cash,Completed,ORD900034,Automated migration
2025-01-05,Brake Pads,Braking system,1,950.18,53.89,950.18,Wholesale Client,Check,Completed,ORD900035,Automated migration
2025-01-05,Wheel Bearing,Drivetrain,4,2805.49,919.65,11221.96,Retail Client,Bank Transfer,Completed,ORD900036,Automated migration
2025-01-05,Brake Pads,Braking system,2,1355.92,159.85,2711.84,Wholesale Client,Check,Completed,ORD900037,Automated migration
2025-01-05,Shock Absorber,Suspension & traction,1,3678.6,256.32,3678.6,Retail Client,Check,Completed,ORD900038,Automated migration
2025-01-06,Catalytic Converter,Exhaust system,2,22983.4,1871.75,45966.8,Retail Client,GCash,Completed,ORD900039,Automated migration
2025-01-06,Oil Filter,Engine system,1,148.07,13.03,148.07,Wholesale Client,GCash,Completed,ORD900040,Automated migration
2025-01-06,Shock Absorber,Suspension & traction,1,2915.75,93.66,2915.75,Wholesale Client,Check,Completed,ORD900041,Automated migration
2025-01-06,ECU Module,Electrical system,4,18813.17,4548.25,75252.68,Retail Client,Bank Transfer,Completed,ORD900042,Automated migration
2025-01-06,Oil Filter,Engine system,2,149.47,23.26,298.94,Wholesale Client,GCash,Completed,ORD900043,Automated migration
2025-01-07,Oil Filter,Engine system,2,165.56,28.36,331.12,Retail Client,Maya,Completed,ORD900044,Automated migration
2025-01-07,Alternator,Electrical system,2,10593.69,1126.84,21187.38,Retail Client,Cash,Completed,ORD900045,Automated migration
2025-01-07,Brake Pads,Braking system,2,1138.38,109.33,2276.76,Wholesale Client,Check,Completed,ORD900046,Automated migration
2025-01-08,Brake Pads,Braking system,1,1327.36,111.26,1327.36,Wholesale Client,Check,Completed,ORD900047,Automated migration
2025-01-08,Air Filter,Engine system,1,294.55,24.95,294.55,Wholesale Client,Check,Completed,ORD900048,Automated migration
2025-01-08,Wheel Bearing,Drivetrain,1,2628.06,120.1,2628.06,Wholesale Client,Cash,Completed,ORD900049,Automated migration
2025-01-08,Wheel Bearing,Drivetrain,3,2899.71,667.71,8699.13,Wholesale Client,GCash,Completed,ORD900050,Automated migration
2025-01-08,Brake Pads,Braking system,2,1598.75,254.47,3197.5,Wholesale Client,Maya,Completed,ORD900051,Automated migration
2025-01-08,Brake Pads,Braking system,3,1471.97,200.2,4415.91,Wholesale Client,Bank Transfer,Completed,ORD900052,Automated migration
2025-01-09,Shock Absorber,Suspension & traction,2,2611.32,426.86,5222.64,Wholesale Client,Bank Transfer,Completed,ORD900053,Automated migration
2025-01-09,Shock Absorber,Suspension & traction,1,3430.52,240.17,3430.52,Wholesale Client,Check,Completed,ORD900054,Automated migration
2025-01-09,Catalytic Converter,Exhaust system,2,15048.98,1121.11,30097.96,Retail Client,Check,Completed,ORD900055,Automated migration
2025-01-09,Air Filter,Engine system,3,358.61,50.66,1075.83,Wholesale Client,Bank Transfer,Completed,ORD900056,Automated migration
2025-01-09,Alternator,Electrical system,2,7171.32,602.43,14342.64,Wholesale Client,Maya,Completed,ORD900057,Automated migration
2025-01-09,Shock Absorber,Suspension & traction,1,2947.78,153.07,2947.78,Retail Client,Cash,Completed,ORD900058,Automated migration
2025-01-10,ECU Module,Electrical system,1,15815.84,587.15,15815.84,Retail Client,Maya,Completed,ORD900059,Automated migration
2025-01-10,Wheel Bearing,Drivetrain,1,1999.13,104.52,1999.13,Retail Client,GCash,Completed,ORD900060,Automated migration
2025-01-10,Shock Absorber,Suspension & traction,1,3760.81,297.2,3760.81,Wholesale Client,GCash,Completed,ORD900061,Automated migration
2025-01-10,Oil Filter,Engine system,2,173.64,30.42,347.28,Retail Client,Bank Transfer,Completed,ORD900062,Automated migration
2025-01-10,Shock Absorber,Suspension & traction,2,2901.24,440.51,5802.48,Retail Client,GCash,Completed,ORD900063,Automated migration
